0.315212 
0.298841 
0.247174 
0.306367 
0.222351 
0.302788 
0.248691 
0.263104 
0.218908 
0.256964 
0.261772 
0.307032 
0.321594 
0.324879 
0.174296 
0.23057 
0.291551 
0.201264 
0.227257 
0.345227 
0.195297 
0.181339 
0.230349 
0.297662 
0.26774 
0.282207 
0.321321 
0.239228 
0.23146 
0.320912 
0.268599 
0.291034 
0.272799 
0.264441 
0.321457 
0.264928 
0.263225 
0.314267 
0.317919 
0.344096 
0.259481 
0.311979 
0.180412 
0.306234 
0.314537 
0.189464 
0.347635 
0.245896 
0.33679 
0.166513 
0.292845 
0.247291 
0.339732 
0.2974 
0.263104 
0.271807 
0.306367 
0.272923 
0.268968 
0.263711 
0.146936 
0.340012 
0.263468 
0.286025 
0.276914 
0.287689 
0.241055 
0.329147 
0.348757 
0.303053 
0.273047 
0.283095 
0.296356 
0.302921 
0.275164 
0.295313 
0.327216 
0.335394 
0.229241 
0.280057 
0.252333 
0.315752 
0.231237 
0.320366 
0.313728 
0.162301 
0.263468 
0.279931 
0.320775 
0.31887 
0.296878 
0.192364 
0.302392 
0.272427 
0.169663 
0.217946 
0.127136 
0.32173 
0.2817 
0.327767 
0.14631 
0.158093 
0.303317 
0.259481 
0.299103 
0.279805 
0.188218 
0.190234 
0.308765 
0.196183 
0.264928 
0.26627 
0.274914 
0.185084 
0.281447 
0.306367 
0.32173 
0.293493 
0.197668 
0.305304 
0.3093 
0.301206 
0.265659 
0.287817 
0.205114 
0.31292 
0.285386 
0.306234 
0.27454 
0.332055 
0.311442 
0.305171 
0.302656 
0.198363 
0.315752 
0.291939 
0.281574 
0.238546 
0.265659 
0.206341 
0.277416 
0.292974 
0.288202 
0.340434 
0.279805 
0.341559 
0.363519 
0.354692 
0.337909 
0.277792 
0.307431 
0.336092 
0.226928 
0.177836 
0.297662 
0.307032 
0.335534 
0.352289 
0.279427 
0.296617 
0.302788 
0.233693 
0.28373 
0.295834 
0.319006 
0.127414 
0.271931 
0.315617 
0.312383 
0.356254 
0.252923 
0.267372 
0.170369 
0.327767 
0.253515 
0.315077 
0.264319 
0.3315 
0.232686 
0.312786 
0.27479 
0.361494 
0.288844 
0.282334 
0.220409 
0.336511 
0.276163 
0.306766 
0.315212 
0.290905 
0.303846 
0.276914 
0.273296 
0.305039 
0.333723 
0.182549 
0.302392 
0.224086 
0.352775 
0.308498 
0.299234 
0.332194 
0.271312 
0.26505 
0.266026 
0.302656 
0.298972 
0.282334 
0.190331 
0.332889 
0.291422 
0.224631 
0.2974 
0.268599 
0.222351 
0.224086 
0.326115 
0.224958 
0.304773 
0.326941 
0.247524 
0.186219 
0.281068 
0.325291 
0.378439 
0.319414 
0.31037 
0.16487 
0.275039 
0.199061 
0.337769 
0.322277 
0.307431 
0.315752 
0.28373 
0.302656 
0.30226 
0.250684 
0.231348 
0.300548 
0.275663 
0.260564 
0.324879 
0.170546 
0.1666 
0.224086 
0.332194 
0.282461 
0.127972 
0.290905 
0.301206 
0.297793 
0.225067 
0.284112 
0.193435 
0.27454 
0.218373 
0.212242 
0.279427 
0.283349 
0.242202 
0.299365 
0.297139 
0.288716 
0.30557 
0.279805 
0.218373 
0.300548 
0.309567 
0.322413 
0.302524 
0.249744 
0.277416 
0.296225 
0.171967 
0.309433 
0.280815 
0.367495 
0.315752 
0.32255 
0.303979 
0.300548 
0.271188 
0.172591 
0.315212 
0.251154 
0.235603 
0.32173 
0.329562 
0.350692 
0.213711 
0.180134 
0.179488 
0.34452 
0.25589 
0.184801 
0.19648 
0.320366 
0.303185 
0.147722 
0.111818 
0.35379 
0.295313 
0.27057 
0.31955 
0.160354 
0.282334 
0.188601 
0.280562 
0.281447 
0.216245 
0.335394 
0.180134 
0.298316 
0.252097 
0.277541 
0.203182 
0.29026 
0.307431 
0.28373 
0.153241 
0.332472 
0.305835 
0.164096 
0.33414 
0.259361 
0.21099 
0.292715 
0.250449 
0.166861 
0.359043 
0.276789 
0.206341 
0.339311 
0.185178 
0.242317 
0.094918 
0.252097 
0.25852 
0.184142 
0.263711 
0.19285 
0.243352 
0.218267 
0.32584 
0.167907 
0.305437 
0.330531 
0.213081 
0.259481 
0.205931 
0.303185 
0.348942 
0.309166 
0.303449 
0.158509 
0.279301 
0.269584 
0.275039 
0.169047 
0.299759 
0.325016 
0.24799 
0.220194 
0.28923 
0.309968 
0.267372 
0.363345 
0.288973 
0.216033 
0.244044 
0.276789 
0.239001 
0.207264 
0.253396 
0.125616 
0.191103 
0.173128 
0.283222 
0.310236 
0.292327 
0.163068 
0.3065 
0.302524 
0.27057 
0.336651 
0.24799 
0.285386 
0.222892 
0.305702 
0.249276 
0.295443 
0.190042 
0.252805 
0.299628 
0.332333 
0.188123 
0.348345 
0.3093 
0.355523 
0.288202 
0.27454 
0.342685 
0.295573 
0.294792 
0.300548 
0.314132 
0.183485 
0.289487 
0.301074 
0.111755 
0.294012 
0.33414 
0.196381 
0.248223 
0.235829 
0.284621 
0.291551 
0.361711 
0.212661 
0.263711 
0.301206 
Acc: 1
